Date,Monthly Inflation,Month Number,Year Number
1994-07-01,0.0684,7,1994
1994-08-01,0.018600000000000002,8,1994
1994-09-01,0.015300000000000001,9,1994
1994-10-01,0.0262,10,1994
1994-11-01,0.0281,11,1994
1994-12-01,0.0171,12,1994
1995-01-01,0.017,1,1995
1995-02-01,0.0102,2,1995
1995-03-01,0.0155,3,1995
1995-04-01,0.024300000000000002,4,1995
1995-05-01,0.026699999999999998,5,1995
1995-06-01,0.0226,6,1995
1995-07-01,0.0236,7,1995
1995-08-01,0.009899999999999999,8,1995
1995-09-01,0.009899999999999999,9,1995
1995-10-01,0.0141,10,1995
1995-11-01,0.0147,11,1995
1995-12-01,0.015600000000000001,12,1995
1996-01-01,0.0134,1,1996
1996-02-01,0.0103,2,1996
1996-03-01,0.0034999999999999996,3,1996
1996-04-01,0.0126,4,1996
1996-05-01,0.012199999999999999,5,1996
1996-06-01,0.011899999999999999,6,1996
1996-07-01,0.0111,7,1996
1996-08-01,0.0044,8,1996
1996-09-01,0.0015,9,1996
1996-10-01,0.003,10,1996
1996-11-01,0.0032,11,1996
1996-12-01,0.004699999999999999,12,1996
1997-01-01,0.0118,1,1997
1997-02-01,0.005,2,1997
1997-03-01,0.0051,3,1997
1997-04-01,0.0088,4,1997
1997-05-01,0.0040999999999999995,5,1997
1997-06-01,0.0054,6,1997
1997-07-01,0.0022,7,1997
1997-08-01,-0.0002,8,1997
1997-09-01,0.0006,9,1997
1997-10-01,0.0023,10,1997
1997-11-01,0.0017000000000000001,11,1997
1997-12-01,0.0043,12,1997
1998-01-01,0.0070999999999999995,1,1998
1998-02-01,0.0046,2,1998
1998-03-01,0.0034000000000000002,3,1998
1998-04-01,0.0024,4,1998
1998-05-01,0.005,5,1998
1998-06-01,0.0002,6,1998
1998-07-01,-0.0012,7,1998
1998-08-01,-0.0051,8,1998
1998-09-01,-0.0022,9,1998
1998-10-01,0.0002,10,1998
1998-11-01,-0.0012,11,1998
1998-12-01,0.0033,12,1998
1999-01-01,0.006999999999999999,1,1999
1999-02-01,0.0105,2,1999
1999-03-01,0.011000000000000001,3,1999
1999-04-01,0.005600000000000001,4,1999
1999-05-01,0.003,5,1999
1999-06-01,0.0019,6,1999
1999-07-01,0.0109,7,1999
1999-08-01,0.005600000000000001,8,1999
1999-09-01,0.0031,9,1999
1999-10-01,0.011899999999999999,10,1999
1999-11-01,0.0095,11,1999
1999-12-01,0.006,12,1999
2000-01-01,0.0062,1,2000
2000-02-01,0.0013,2,2000
2000-03-01,0.0022,3,2000
2000-04-01,0.0042,4,2000
2000-05-01,0.0001,5,2000
2000-06-01,0.0023,6,2000
2000-07-01,0.0161,7,2000
2000-08-01,0.0131,8,2000
2000-09-01,0.0023,9,2000
2000-10-01,0.0014000000000000002,10,2000
2000-11-01,0.0032,11,2000
2000-12-01,0.0059,12,2000
2001-01-01,0.005699999999999999,1,2001
2001-02-01,0.0046,2,2001
2001-03-01,0.0038,3,2001
2001-04-01,0.0058,4,2001
2001-05-01,0.0040999999999999995,5,2001
2001-06-01,0.0052,6,2001
2001-07-01,0.013300000000000001,7,2001
2001-08-01,0.006999999999999999,8,2001
2001-09-01,0.0028000000000000004,9,2001
2001-10-01,0.0083,10,2001
2001-11-01,0.0070999999999999995,11,2001
2001-12-01,0.006500000000000001,12,2001
2002-01-01,0.0052,1,2002
2002-02-01,0.0036,2,2002
2002-03-01,0.006,3,2002
2002-04-01,0.008,4,2002
2002-05-01,0.0021,5,2002
2002-06-01,0.0042,6,2002
2002-07-01,0.011899999999999999,7,2002
2002-08-01,0.006500000000000001,8,2002
2002-09-01,0.0072,9,2002
2002-10-01,0.0131,10,2002
2002-11-01,0.0302,11,2002
2002-12-01,0.021,12,2002
2003-01-01,0.0225,1,2003
2003-02-01,0.015700000000000002,2,2003
2003-03-01,0.0123,3,2003
2003-04-01,0.0097,4,2003
2003-05-01,0.0060999999999999995,5,2003
2003-06-01,-0.0015,6,2003
2003-07-01,0.002,7,2003
2003-08-01,0.0034000000000000002,8,2003
2003-09-01,0.0078000000000000005,9,2003
2003-10-01,0.0029,10,2003
2003-11-01,0.0034000000000000002,11,2003
2003-12-01,0.0052,12,2003
2004-01-01,0.0076,1,2004
2004-02-01,0.0060999999999999995,2,2004
2004-03-01,0.004699999999999999,3,2004
2004-04-01,0.0037,4,2004
2004-05-01,0.0051,5,2004
2004-06-01,0.0070999999999999995,6,2004
2004-07-01,0.0091,7,2004
2004-08-01,0.0069,8,2004
2004-09-01,0.0033,9,2004
2004-10-01,0.0044,10,2004
2004-11-01,0.0069,11,2004
2004-12-01,0.0086,12,2004
2005-01-01,0.0058,1,2005
2005-02-01,0.0059,2,2005
2005-03-01,0.0060999999999999995,3,2005
2005-04-01,0.0087,4,2005
2005-05-01,0.0049,5,2005
2005-06-01,-0.0002,6,2005
2005-07-01,0.0025,7,2005
2005-08-01,0.0017000000000000001,8,2005
2005-09-01,0.0034999999999999996,9,2005
2005-10-01,0.0075,10,2005
2005-11-01,0.0055000000000000005,11,2005
2005-12-01,0.0036,12,2005
2006-01-01,0.0059,1,2006
2006-02-01,0.0040999999999999995,2,2006
2006-03-01,0.0043,3,2006
2006-04-01,0.0021,4,2006
2006-05-01,0.001,5,2006
2006-06-01,-0.0021,6,2006
2006-07-01,0.0019,7,2006
2006-08-01,0.0005,8,2006
2006-09-01,0.0021,9,2006
2006-10-01,0.0033,10,2006
2006-11-01,0.0031,11,2006
2006-12-01,0.0048,12,2006
2007-01-01,0.0044,1,2007
2007-02-01,0.0044,2,2007
2007-03-01,0.0037,3,2007
2007-04-01,0.0025,4,2007
2007-05-01,0.0028000000000000004,5,2007
2007-06-01,0.0028000000000000004,6,2007
2007-07-01,0.0024,7,2007
2007-08-01,0.004699999999999999,8,2007
2007-09-01,0.0018,9,2007
2007-10-01,0.003,10,2007
2007-11-01,0.0038,11,2007
2007-12-01,0.0074,12,2007
2008-01-01,0.0054,1,2008
2008-02-01,0.0049,2,2008
2008-03-01,0.0048,3,2008
2008-04-01,0.0055000000000000005,4,2008
2008-05-01,0.0079,5,2008
2008-06-01,0.0074,6,2008
2008-07-01,0.0053,7,2008
2008-08-01,0.0028000000000000004,8,2008
2008-09-01,0.0026,9,2008
2008-10-01,0.0045000000000000005,10,2008
2008-11-01,0.0036,11,2008
2008-12-01,0.0028000000000000004,12,2008
2009-01-01,0.0048,1,2009
