Date,CPI Value,Month Number,Year Number
1988-01-01,48.4,1,1988
1988-02-01,48.6,2,1988
1988-03-01,48.7,3,1988
1988-04-01,49.3,4,1988
1988-05-01,49.5,5,1988
1988-06-01,49.7,6,1988
1988-07-01,49.7,7,1988
1988-08-01,49.9,8,1988
1988-09-01,50.1,9,1988
1988-10-01,50.3,10,1988
1988-11-01,50.5,11,1988
1988-12-01,50.6,12,1988
1989-01-01,50.8,1,1989
1989-02-01,51.0,2,1989
1989-03-01,51.2,3,1989
1989-04-01,51.9,4,1989
1989-05-01,52.2,5,1989
1989-06-01,52.3,6,1989
1989-07-01,52.3,7,1989
1989-08-01,52.4,8,1989
1989-09-01,52.7,9,1989
1989-10-01,53.1,10,1989
1989-11-01,53.3,11,1989
1989-12-01,53.4,12,1989
1990-01-01,53.6,1,1990
1990-02-01,54.0,2,1990
1990-03-01,54.2,3,1990
1990-04-01,55.2,4,1990
1990-05-01,55.7,5,1990
1990-06-01,55.9,6,1990
1990-07-01,55.8,7,1990
1990-08-01,56.4,8,1990
1990-09-01,57.0,9,1990
1990-10-01,57.4,10,1990
1990-11-01,57.5,11,1990
1990-12-01,57.5,12,1990
1991-01-01,57.4,1,1991
1991-02-01,57.7,2,1991
1991-03-01,57.9,3,1991
1991-04-01,59.9,4,1991
1991-05-01,60.3,5,1991
1991-06-01,60.6,6,1991
1991-07-01,60.5,7,1991
1991-08-01,60.9,8,1991
1991-09-01,61.1,9,1991
1991-10-01,61.3,10,1991
1991-11-01,61.5,11,1991
1991-12-01,61.6,12,1991
1992-01-01,61.4,1,1992
1992-02-01,61.7,2,1992
1992-03-01,62.0,3,1992
1992-04-01,62.7,4,1992
1992-05-01,62.9,5,1992
1992-06-01,62.9,6,1992
1992-07-01,62.6,7,1992
1992-08-01,62.7,8,1992
1992-09-01,62.9,9,1992
1992-10-01,63.1,10,1992
1992-11-01,63.1,11,1992
1992-12-01,63.2,12,1992
1993-01-01,62.8,1,1993
1993-02-01,63.2,2,1993
1993-03-01,63.6,3,1993
1993-04-01,64.3,4,1993
1993-05-01,64.5,5,1993
1993-06-01,64.5,6,1993
1993-07-01,64.2,7,1993
1993-08-01,64.5,8,1993
1993-09-01,64.8,9,1993
1993-10-01,64.7,10,1993
1993-11-01,64.6,11,1993
1993-12-01,64.7,12,1993
1994-01-01,64.5,1,1994
1994-02-01,64.8,2,1994
1994-03-01,65.0,3,1994
1994-04-01,65.5,4,1994
1994-05-01,65.8,5,1994
1994-06-01,65.8,6,1994
1994-07-01,65.4,7,1994
1994-08-01,65.7,8,1994
1994-09-01,65.8,9,1994
1994-10-01,65.7,10,1994
1994-11-01,65.7,11,1994
1994-12-01,66.0,12,1994
1995-01-01,66.0,1,1995
1995-02-01,66.3,2,1995
1995-03-01,66.7,3,1995
1995-04-01,67.0,4,1995
1995-05-01,67.4,5,1995
1995-06-01,67.4,6,1995
1995-07-01,67.1,7,1995
1995-08-01,67.4,8,1995
1995-09-01,67.7,9,1995
1995-10-01,67.6,10,1995
1995-11-01,67.6,11,1995
1995-12-01,68.0,12,1995
1996-01-01,67.8,1,1996
1996-02-01,68.1,2,1996
1996-03-01,68.4,3,1996
1996-04-01,68.7,4,1996
1996-05-01,68.9,5,1996
1996-06-01,69.0,6,1996
1996-07-01,68.6,7,1996
1996-08-01,68.9,8,1996
1996-09-01,69.3,9,1996
1996-10-01,69.3,10,1996
1996-11-01,69.3,11,1996
1996-12-01,69.5,12,1996
1997-01-01,69.2,1,1997
1997-02-01,69.4,2,1997
1997-03-01,69.5,3,1997
1997-04-01,69.8,4,1997
1997-05-01,70.0,5,1997
1997-06-01,70.2,6,1997
1997-07-01,69.9,7,1997
1997-08-01,70.3,8,1997
1997-09-01,70.6,9,1997
1997-10-01,70.6,10,1997
1997-11-01,70.6,11,1997
1997-12-01,70.7,12,1997
1998-01-01,70.3,1,1998
1998-02-01,70.5,2,1998
1998-03-01,70.7,3,1998
1998-04-01,71.1,4,1998
1998-05-01,71.4,5,1998
1998-06-01,71.3,6,1998
1998-07-01,71.0,7,1998
1998-08-01,71.2,8,1998
1998-09-01,71.5,9,1998
1998-10-01,71.5,10,1998
1998-11-01,71.6,11,1998
1998-12-01,71.8,12,1998
1999-01-01,71.4,1,1999
1999-02-01,71.5,2,1999
1999-03-01,71.9,3,1999
1999-04-01,72.2,4,1999
1999-05-01,72.4,5,1999
1999-06-01,72.3,6,1999
1999-07-01,71.9,7,1999
1999-08-01,72.1,8,1999
1999-09-01,72.4,9,1999
1999-10-01,72.3,10,1999
1999-11-01,72.4,11,1999
1999-12-01,72.6,12,1999
2000-01-01,71.9,1,2000
