Date,CPI Value,Month Number,Year Number
1967-01-01,32.9,1,1967
1967-02-01,32.9,2,1967
1967-03-01,33.0,3,1967
1967-04-01,33.1,4,1967
1967-05-01,33.2,5,1967
1967-06-01,33.3,6,1967
1967-07-01,33.4,7,1967
1967-08-01,33.5,8,1967
1967-09-01,33.6,9,1967
1967-10-01,33.7,10,1967
1967-11-01,33.8,11,1967
1967-12-01,33.9,12,1967
1968-01-01,34.1,1,1968
1968-02-01,34.2,2,1968
1968-03-01,34.3,3,1968
1968-04-01,34.4,4,1968
1968-05-01,34.5,5,1968
1968-06-01,34.7,6,1968
1968-07-01,34.9,7,1968
1968-08-01,35.0,8,1968
1968-09-01,35.1,9,1968
1968-10-01,35.3,10,1968
1968-11-01,35.4,11,1968
1968-12-01,35.5,12,1968
1969-01-01,35.6,1,1969
1969-02-01,35.8,2,1969
1969-03-01,36.1,3,1969
1969-04-01,36.3,4,1969
1969-05-01,36.4,5,1969
1969-06-01,36.6,6,1969
1969-07-01,36.8,7,1969
1969-08-01,37.0,8,1969
1969-09-01,37.1,9,1969
1969-10-01,37.3,10,1969
1969-11-01,37.5,11,1969
1969-12-01,37.7,12,1969
1970-01-01,37.8,1,1970
1970-02-01,38.0,2,1970
1970-03-01,38.2,3,1970
1970-04-01,38.5,4,1970
1970-05-01,38.6,5,1970
1970-06-01,38.8,6,1970
1970-07-01,39.0,7,1970
1970-08-01,39.0,8,1970
1970-09-01,39.2,9,1970
1970-10-01,39.4,10,1970
1970-11-01,39.6,11,1970
1970-12-01,39.8,12,1970
1971-01-01,39.8,1,1971
1971-02-01,39.9,2,1971
1971-03-01,40.0,3,1971
1971-04-01,40.1,4,1971
1971-05-01,40.3,5,1971
1971-06-01,40.6,6,1971
1971-07-01,40.7,7,1971
1971-08-01,40.8,8,1971
1971-09-01,40.8,9,1971
1971-10-01,40.9,10,1971
1971-11-01,40.9,11,1971
1971-12-01,41.1,12,1971
1972-01-01,41.1,1,1972
1972-02-01,41.3,2,1972
1972-03-01,41.4,3,1972
1972-04-01,41.5,4,1972
1972-05-01,41.6,5,1972
1972-06-01,41.7,6,1972
1972-07-01,41.9,7,1972
1972-08-01,42.0,8,1972
1972-09-01,42.1,9,1972
1972-10-01,42.3,10,1972
1972-11-01,42.4,11,1972
1972-12-01,42.5,12,1972
1973-01-01,42.6,1,1973
1973-02-01,42.9,2,1973
1973-03-01,43.3,3,1973
1973-04-01,43.6,4,1973
1973-05-01,43.9,5,1973
1973-06-01,44.2,6,1973
1973-07-01,44.3,7,1973
1973-08-01,45.1,8,1973
1973-09-01,45.2,9,1973
1973-10-01,45.6,10,1973
1973-11-01,45.9,11,1973
1973-12-01,46.2,12,1973
1974-01-01,46.6,1,1974
1974-02-01,47.2,2,1974
1974-03-01,47.8,3,1974
1974-04-01,48.0,4,1974
1974-05-01,48.6,5,1974
1974-06-01,49.0,6,1974
1974-07-01,49.4,7,1974
1974-08-01,50.0,8,1974
1974-09-01,50.6,9,1974
1974-10-01,51.1,10,1974
1974-11-01,51.5,11,1974
1974-12-01,51.9,12,1974
1975-01-01,52.1,1,1975
1975-02-01,52.5,2,1975
1975-03-01,52.7,3,1975
1975-04-01,52.9,4,1975
1975-05-01,53.2,5,1975
1975-06-01,53.6,6,1975
1975-07-01,54.2,7,1975
1975-08-01,54.3,8,1975
1975-09-01,54.6,9,1975
1975-10-01,54.9,10,1975
1975-11-01,55.3,11,1975
1975-12-01,55.5,12,1975
1976-01-01,55.6,1,1976
1976-02-01,55.8,2,1976
1976-03-01,55.9,3,1976
1976-04-01,56.1,4,1976
1976-05-01,56.5,5,1976
1976-06-01,56.8,6,1976
1976-07-01,57.1,7,1976
1976-08-01,57.4,8,1976
1976-09-01,57.6,9,1976
1976-10-01,57.9,10,1976
1976-11-01,58.0,11,1976
1976-12-01,58.2,12,1976
1977-01-01,58.5,1,1977
1977-02-01,59.1,2,1977
1977-03-01,59.5,3,1977
1977-04-01,60.0,4,1977
1977-05-01,60.3,5,1977
1977-06-01,60.7,6,1977
1977-07-01,61.0,7,1977
1977-08-01,61.2,8,1977
1977-09-01,61.4,9,1977
1977-10-01,61.6,10,1977
1977-11-01,61.9,11,1977
1977-12-01,62.1,12,1977
1978-01-01,62.5,1,1978
1978-02-01,62.9,2,1978
1978-03-01,63.4,3,1978
1978-04-01,63.9,4,1978
1978-05-01,64.5,5,1978
1978-06-01,65.2,6,1978
1978-07-01,65.7,7,1978
1978-08-01,66.0,8,1978
1978-09-01,66.5,9,1978
1978-10-01,67.1,10,1978
1978-11-01,67.4,11,1978
1978-12-01,67.7,12,1978
1979-01-01,68.3,1,1979
1979-02-01,69.1,2,1979
1979-03-01,69.8,3,1979
1979-04-01,70.6,4,1979
1979-05-01,71.5,5,1979
1979-06-01,72.3,6,1979
1979-07-01,73.1,7,1979
1979-08-01,73.8,8,1979
1979-09-01,74.6,9,1979
1979-10-01,75.2,10,1979
1979-11-01,75.9,11,1979
1979-12-01,76.7,12,1979
1980-01-01,77.8,1,1980
1980-02-01,78.9,2,1980
1980-03-01,80.1,3,1980
1980-04-01,81.0,4,1980
1980-05-01,81.8,5,1980
1980-06-01,82.7,6,1980
1980-07-01,82.7,7,1980
1980-08-01,83.3,8,1980
1980-09-01,84.0,9,1980
1980-10-01,84.8,10,1980
1980-11-01,85.5,11,1980
1980-12-01,86.3,12,1980
1981-01-01,87.0,1,1981
1981-02-01,87.9,2,1981
1981-03-01,88.5,3,1981
1981-04-01,89.1,4,1981
1981-05-01,89.8,5,1981
1981-06-01,90.6,6,1981
1981-07-01,91.6,7,1981
1981-08-01,92.3,8,1981
1981-09-01,93.2,9,1981
1981-10-01,93.4,10,1981
1981-11-01,93.7,11,1981
1981-12-01,94.0,12,1981
1982-01-01,94.3,1,1982
1982-02-01,94.6,2,1982
1982-03-01,94.5,3,1982
1982-04-01,94.9,4,1982
1982-05-01,95.8,5,1982
1982-06-01,97.0,6,1982
1982-07-01,97.5,7,1982
1982-08-01,97.7,8,1982
1982-09-01,97.9,9,1982
1982-10-01,98.2,10,1982
1982-11-01,98.0,11,1982
1982-12-01,97.6,12,1982
1983-01-01,97.8,1,1983
1983-02-01,97.9,2,1983
1983-03-01,97.9,3,1983
1983-04-01,98.6,4,1983
1983-05-01,99.2,5,1983
1983-06-01,99.5,6,1983
1983-07-01,99.9,7,1983
1983-08-01,100.2,8,1983
1983-09-01,100.7,9,1983
1983-10-01,101.0,10,1983
1983-11-01,101.2,11,1983
1983-12-01,101.3,12,1983
1984-01-01,101.9,1,1984
1984-02-01,102.4,2,1984
1984-03-01,102.6,3,1984
1984-04-01,103.1,4,1984
1984-05-01,103.4,5,1984
1984-06-01,103.7,6,1984
1984-07-01,104.1,7,1984
1984-08-01,104.5,8,1984
1984-09-01,105.0,9,1984
1984-10-01,105.3,10,1984
1984-11-01,105.3,11,1984
1984-12-01,105.3,12,1984
1985-01-01,105.5,1,1985
1985-02-01,106.0,2,1985
1985-03-01,106.4,3,1985
1985-04-01,106.9,4,1985
1985-05-01,107.3,5,1985
1985-06-01,107.6,6,1985
1985-07-01,107.8,7,1985
1985-08-01,108.0,8,1985
1985-09-01,108.3,9,1985
1985-10-01,108.7,10,1985
1985-11-01,109.0,11,1985
1985-12-01,109.3,12,1985
1986-01-01,109.6,1,1986
1986-02-01,109.3,2,1986
1986-03-01,108.8,3,1986
1986-04-01,108.6,4,1986
1986-05-01,108.9,5,1986
1986-06-01,109.5,6,1986
1986-07-01,109.5,7,1986
1986-08-01,109.7,8,1986
1986-09-01,110.2,9,1986
1986-10-01,110.3,10,1986
1986-11-01,110.4,11,1986
1986-12-01,110.5,12,1986
1987-01-01,111.2,1,1987
1987-02-01,111.6,2,1987
1987-03-01,112.1,3,1987
1987-04-01,112.7,4,1987
1987-05-01,113.1,5,1987
1987-06-01,113.5,6,1987
1987-07-01,113.8,7,1987
1987-08-01,114.4,8,1987
1987-09-01,115.0,9,1987
1987-10-01,115.3,10,1987
1987-11-01,115.4,11,1987
1987-12-01,115.4,12,1987
1988-01-01,115.7,1,1988
1988-02-01,116.0,2,1988
1988-03-01,116.5,3,1988
1988-04-01,117.1,4,1988
1988-05-01,117.5,5,1988
1988-06-01,118.0,6,1988
1988-07-01,118.5,7,1988
1988-08-01,119.0,8,1988
1988-09-01,119.8,9,1988
1988-10-01,120.2,10,1988
1988-11-01,120.3,11,1988
1988-12-01,120.5,12,1988
1989-01-01,121.1,1,1989
1989-02-01,121.6,2,1989
1989-03-01,122.3,3,1989
1989-04-01,123.1,4,1989
1989-05-01,123.8,5,1989
1989-06-01,124.1,6,1989
1989-07-01,124.4,7,1989
1989-08-01,124.6,8,1989
1989-09-01,125.0,9,1989
1989-10-01,125.6,10,1989
1989-11-01,125.9,11,1989
1989-12-01,126.1,12,1989
1990-01-01,127.4,1,1990
1990-02-01,128.0,2,1990
1990-03-01,128.7,3,1990
1990-04-01,128.9,4,1990
1990-05-01,129.2,5,1990
1990-06-01,129.9,6,1990
1990-07-01,130.4,7,1990
1990-08-01,131.6,8,1990
1990-09-01,132.7,9,1990
1990-10-01,133.5,10,1990
1990-11-01,133.8,11,1990
1990-12-01,133.8,12,1990
1991-01-01,134.6,1,1991
1991-02-01,134.8,2,1991
1991-03-01,135.0,3,1991
1991-04-01,135.2,4,1991
1991-05-01,135.6,5,1991
1991-06-01,136.0,6,1991
1991-07-01,136.2,7,1991
1991-08-01,136.6,8,1991
1991-09-01,137.2,9,1991
1991-10-01,137.4,10,1991
1991-11-01,137.8,11,1991
1991-12-01,137.9,12,1991
1992-01-01,138.1,1,1992
1992-02-01,138.6,2,1992
1992-03-01,139.3,3,1992
1992-04-01,139.5,4,1992
1992-05-01,139.7,5,1992
1992-06-01,140.2,6,1992
1992-07-01,140.5,7,1992
1992-08-01,140.9,8,1992
1992-09-01,141.3,9,1992
1992-10-01,141.8,10,1992
1992-11-01,142.0,11,1992
1992-12-01,141.9,12,1992
1993-01-01,142.6,1,1993
1993-02-01,143.1,2,1993
1993-03-01,143.6,3,1993
1993-04-01,144.0,4,1993
1993-05-01,144.2,5,1993
1993-06-01,144.4,6,1993
1993-07-01,144.4,7,1993
1993-08-01,144.8,8,1993
1993-09-01,145.1,9,1993
1993-10-01,145.7,10,1993
1993-11-01,145.8,11,1993
1993-12-01,145.8,12,1993
1994-01-01,146.2,1,1994
1994-02-01,146.7,2,1994
1994-03-01,147.2,3,1994
1994-04-01,147.4,4,1994
1994-05-01,147.5,5,1994
1994-06-01,148.0,6,1994
1994-07-01,148.4,7,1994
1994-08-01,149.0,8,1994
1994-09-01,149.4,9,1994
1994-10-01,149.5,10,1994
1994-11-01,149.7,11,1994
1994-12-01,149.7,12,1994
1995-01-01,150.3,1,1995
1995-02-01,150.9,2,1995
1995-03-01,151.4,3,1995
1995-04-01,151.9,4,1995
1995-05-01,152.2,5,1995
1995-06-01,152.5,6,1995
1995-07-01,152.5,7,1995
1995-08-01,152.9,8,1995
1995-09-01,153.2,9,1995
1995-10-01,153.7,10,1995
1995-11-01,153.6,11,1995
1995-12-01,153.5,12,1995
1996-01-01,154.4,1,1996
1996-02-01,154.9,2,1996
1996-03-01,155.7,3,1996
1996-04-01,156.3,4,1996
1996-05-01,156.6,5,1996
1996-06-01,156.7,6,1996
1996-07-01,157.0,7,1996
1996-08-01,157.3,8,1996
1996-09-01,157.8,9,1996
1996-10-01,158.3,10,1996
1996-11-01,158.6,11,1996
1996-12-01,158.6,12,1996
1997-01-01,159.1,1,1997
1997-02-01,159.6,2,1997
1997-03-01,160.0,3,1997
1997-04-01,160.2,4,1997
1997-05-01,160.1,5,1997
1997-06-01,160.3,6,1997
1997-07-01,160.5,7,1997
1997-08-01,160.8,8,1997
1997-09-01,161.2,9,1997
1997-10-01,161.6,10,1997
1997-11-01,161.5,11,1997
1997-12-01,161.3,12,1997
1998-01-01,161.6,1,1998
1998-02-01,161.9,2,1998
1998-03-01,162.2,3,1998
1998-04-01,162.5,4,1998
1998-05-01,162.8,5,1998
1998-06-01,163.0,6,1998
1998-07-01,163.2,7,1998
1998-08-01,163.4,8,1998
1998-09-01,163.6,9,1998
1998-10-01,164.0,10,1998
1998-11-01,164.0,11,1998
1998-12-01,163.9,12,1998
1999-01-01,164.3,1,1999
1999-02-01,164.5,2,1999
1999-03-01,165.0,3,1999
1999-04-01,166.2,4,1999
1999-05-01,166.2,5,1999
1999-06-01,166.2,6,1999
1999-07-01,166.7,7,1999
1999-08-01,167.1,8,1999
1999-09-01,167.9,9,1999
1999-10-01,168.2,10,1999
1999-11-01,168.3,11,1999
1999-12-01,168.3,12,1999
2000-01-01,168.8,1,2000
2000-02-01,169.8,2,2000
2000-03-01,171.2,3,2000
2000-04-01,171.3,4,2000
2000-05-01,171.5,5,2000
2000-06-01,172.4,6,2000
2000-07-01,172.8,7,2000
2000-08-01,172.8,8,2000
2000-09-01,173.7,9,2000
2000-10-01,174.0,10,2000
2000-11-01,174.1,11,2000
2000-12-01,174.0,12,2000
2001-01-01,175.1,1,2001
2001-02-01,175.8,2,2001
2001-03-01,176.2,3,2001
2001-04-01,176.9,4,2001
2001-05-01,177.7,5,2001
2001-06-01,178.0,6,2001
2001-07-01,177.5,7,2001
2001-08-01,177.5,8,2001
2001-09-01,178.3,9,2001
2001-10-01,177.7,10,2001
2001-11-01,177.4,11,2001
2001-12-01,176.7,12,2001
2002-01-01,177.1,1,2002
2002-02-01,177.8,2,2002
2002-03-01,178.8,3,2002
2002-04-01,179.8,4,2002
2002-05-01,179.8,5,2002
2002-06-01,179.9,6,2002
2002-07-01,180.1,7,2002
2002-08-01,180.7,8,2002
2002-09-01,181.0,9,2002
2002-10-01,181.3,10,2002
2002-11-01,181.3,11,2002
2002-12-01,180.9,12,2002
2003-01-01,181.7,1,2003
2003-02-01,183.1,2,2003
2003-03-01,184.2,3,2003
2003-04-01,183.8,4,2003
2003-05-01,183.5,5,2003
2003-06-01,183.7,6,2003
2003-07-01,183.9,7,2003
